Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
AGE,REAL,continuous,15.780 ± 0.285,15 to 16,1.000,,
ESCS,REAL,continuous,0.483 ± 0.835,-2 to 2,1.000,,
PV1MATH,REAL,continuous,588.305 ± 101.412,237 to 943,1.000,,
PV2MATH,REAL,continuous,586.826 ± 102.033,277 to 878,1.000,,
PV3MATH,REAL,continuous,587.005 ± 100.635,282 to 838,1.000,,
PV4MATH,REAL,continuous,585.364 ± 104.014,201 to 833,1.000,,
PV5MATH,REAL,continuous,585.738 ± 103.278,206 to 850,1.000,,
PV6MATH,REAL,continuous,588.044 ± 101.433,266 to 851,1.000,,
PV7MATH,REAL,continuous,589.522 ± 102.242,238 to 876,1.000,,
PV8MATH,REAL,continuous,588.596 ± 102.047,293 to 828,1.000,,
PV9MATH,REAL,continuous,588.478 ± 101.088,269 to 841,1.000,,
PV10MATH,REAL,continuous,589.650 ± 100.782,238 to 817,1.000,,
SCHSIZE,REAL,continuous,1330.076 ± 832.751,315 to 4020,1.000,,
MCLSIZE,REAL,continuous,29.478 ± 8.006,18 to 38,1.000,,
ST001D01T,REAL,categorical,,,,"8.0: 0.7%, 9.0: 7.7%, 10.0: 90.9%, 11.0: 0.7%",1.000
ST004D01T,REAL,categorical,,,,"1.0: 48.0%, 2.0: 52.0%",1.000
SC064Q06WA,REAL,ordinal,,,,"3.0: 3.5%, 4.0: 6.7%, 10.0: 11.2%, 15.0: 6.4%, 20.0: 19.7%, 30.0: 4.2%, 33.0: 3.2%, 50.0: 6.5%, 70.0: 8.5%, 80.0: 8.2%, 90.0: 4.6%, 100.0: 17.3%",1.000
ST268Q07JA,REAL,ordinal,,,,"1.0: 1.3%, 2.0: 1.5%, 3.0: 24.1%, 4.0: 73.1%",1.000
ST268Q01JA,REAL,ordinal,,,,"1.0: 11.2%, 2.0: 25.1%, 3.0: 38.6%, 4.0: 25.1%",1.000
SC064Q01TA,REAL,ordinal,,,,"4.0: 3.2%, 5.0: 8.4%, 6.0: 6.7%, 10.0: 12.9%, 15.0: 10.7%, 20.0: 27.8%, 25.0: 4.0%, 30.0: 8.4%, 34.0: 4.6%, 40.0: 4.7%, 70.0: 8.8%",1.000
IMMIG,REAL,categorical,,,,"1.0: 71.1%, 2.0: 10.2%, 3.0: 18.7%",1.000
SC064Q04NA,REAL,ordinal,,,,"1.0: 4.2%, 2.0: 15.5%, 3.0: 15.2%, 4.0: 3.2%, 5.0: 19.6%, 6.0: 4.7%, 8.0: 3.5%, 10.0: 12.5%, 15.0: 10.6%, 20.0: 6.7%, 26.0: 4.3%",1.000
SC064Q05WA,REAL,ordinal,,,,"2.0: 10.4%, 4.0: 6.7%, 5.0: 14.8%, 6.0: 3.2%, 10.0: 21.7%, 15.0: 4.2%, 20.0: 16.8%, 25.0: 6.5%, 28.0: 4.6%, 40.0: 4.7%, 70.0: 4.3%, 85.0: 2.1%",1.000
SC064Q03TA,REAL,ordinal,,,,"1.0: 8.2%, 2.0: 27.2%, 3.0: 4.2%, 5.0: 32.7%, 6.0: 4.7%, 10.0: 8.6%, 16.0: 3.5%, 20.0: 6.7%, 30.0: 4.2%",1.000
SC064Q02TA,REAL,ordinal,,,,"10.0: 4.3%, 20.0: 8.6%, 30.0: 4.7%, 50.0: 6.4%, 70.0: 4.3%, 75.0: 4.2%, 80.0: 6.4%, 90.0: 8.8%, 98.0: 3.5%, 100.0: 48.7%",1.000
SC064Q07WA,REAL,ordinal,,,,"1.0: 15.4%, 2.0: 12.9%, 3.0: 8.5%, 4.0: 3.2%, 5.0: 15.2%, 6.0: 4.6%, 7.0: 4.3%, 10.0: 10.3%, 15.0: 6.4%, 16.0: 3.5%, 30.0: 4.2%, 48.0: 6.9%, 100.0: 4.7%",1.000
MISCED,REAL,ordinal,,,,"1.0: 1.2%, 2.0: 1.6%, 3.0: 3.2%, 4.0: 13.0%, 6.0: 12.9%, 7.0: 14.6%, 8.0: 24.6%, 9.0: 21.1%, 10.0: 7.8%",1.000
ST268Q04JA,REAL,ordinal,,,,"1.0: 11.7%, 2.0: 30.5%, 3.0: 39.1%, 4.0: 18.7%",1.000
AGE,CTGAN,continuous,15.887 ± 0.285,15 to 16,1.000,,
ESCS,CTGAN,continuous,0.460 ± 0.948,-2 to 2,1.000,,
PV1MATH,CTGAN,continuous,581.138 ± 126.316,237 to 916,1.000,,
PV2MATH,CTGAN,continuous,604.837 ± 116.365,277 to 856,1.000,,
PV3MATH,CTGAN,continuous,593.351 ± 115.022,282 to 838,1.000,,
PV4MATH,CTGAN,continuous,587.553 ± 127.010,201 to 833,1.000,,
PV5MATH,CTGAN,continuous,586.250 ± 127.446,206 to 850,1.000,,
PV6MATH,CTGAN,continuous,601.411 ± 118.186,266 to 851,1.000,,
PV7MATH,CTGAN,continuous,604.112 ± 113.140,238 to 841,1.000,,
PV8MATH,CTGAN,continuous,595.059 ± 114.892,293 to 828,1.000,,
PV9MATH,CTGAN,continuous,594.220 ± 116.629,269 to 841,1.000,,
PV10MATH,CTGAN,continuous,580.259 ± 112.086,238 to 816,1.000,,
SCHSIZE,CTGAN,continuous,1459.014 ± 908.731,315 to 4020,1.000,,
MCLSIZE,CTGAN,continuous,29.176 ± 7.814,18 to 38,1.000,,
ST001D01T,CTGAN,categorical,,,,"8: 3.4%, 9: 13.2%, 10: 80.2%, 11: 3.2%",1.000
ST004D01T,CTGAN,categorical,,,,"1: 50.5%, 2: 49.5%",1.000
