Variable,Target,Technique,REAL,Synth_Lo,Synth_Hi,Contains_REAL
gender,SMP,PredLLM,-0.010,-0.040,0.040,True
gender,SMP,TapTap,-0.010,-0.090,0.090,True
gender,SMP,CTGAN,-0.010,-0.080,-0.010,True
gender,SMP,Tabula,-0.010,0.030,0.100,False
gender,SMP,TabDiff,-0.010,0.000,0.030,False
gender,SMP,TabSyn,-0.010,-0.050,0.040,True
gender,SMP,REaLTabFormer,-0.010,-0.160,-0.060,False
gender,SMP,GReaT,-0.010,0.060,0.130,False
gender,SPI,PredLLM,-0.037,-0.160,-0.010,True
gender,SPI,TapTap,-0.037,-0.060,0.010,True
gender,SPI,CTGAN,-0.037,-0.080,0.060,True
gender,SPI,Tabula,-0.037,-0.100,-0.030,True
gender,SPI,TabDiff,-0.037,-0.060,0.000,True
gender,SPI,TabSyn,-0.037,-0.040,0.040,True
gender,SPI,REaLTabFormer,-0.037,-0.160,0.000,True
gender,SPI,GReaT,-0.037,-0.060,0.000,True
gender,SMS,PredLLM,0.105,0.010,0.150,True
gender,SMS,TapTap,0.105,0.040,0.120,True
gender,SMS,CTGAN,0.105,0.020,0.080,False
gender,SMS,Tabula,0.105,0.030,0.110,True
gender,SMS,TabDiff,0.105,0.100,0.140,True
gender,SMS,TabSyn,0.105,0.060,0.120,True
gender,SMS,REaLTabFormer,0.105,0.150,0.190,False
gender,SMS,GReaT,0.105,0.010,0.120,True
grade,SMP,PredLLM,0.199,0.080,0.210,True
grade,SMP,TapTap,0.199,0.140,0.240,True
grade,SMP,CTGAN,0.199,0.180,0.260,True
grade,SMP,Tabula,0.199,0.050,0.150,False
grade,SMP,TabDiff,0.199,0.160,0.220,True
grade,SMP,TabSyn,0.199,0.130,0.260,True
grade,SMP,REaLTabFormer,0.199,0.050,0.120,False
grade,SMP,GReaT,0.199,0.100,0.230,True
grade,SPI,PredLLM,-0.041,-0.130,-0.040,True
grade,SPI,TapTap,-0.041,-0.060,-0.020,True
grade,SPI,CTGAN,-0.041,-0.070,-0.010,True
grade,SPI,Tabula,-0.041,-0.080,-0.010,True
grade,SPI,TabDiff,-0.041,-0.050,0.070,True
grade,SPI,TabSyn,-0.041,-0.090,0.030,True
grade,SPI,REaLTabFormer,-0.041,-0.020,0.030,False
grade,SPI,GReaT,-0.041,-0.050,0.020,True
grade,SMS,PredLLM,0.085,0.040,0.110,True
grade,SMS,TapTap,0.085,0.040,0.090,True
grade,SMS,CTGAN,0.085,0.040,0.140,True
grade,SMS,Tabula,0.085,-0.020,0.110,True
grade,SMS,TabDiff,0.085,0.060,0.110,True
grade,SMS,TabSyn,0.085,0.010,0.080,False
grade,SMS,REaLTabFormer,0.085,0.000,0.050,False
grade,SMS,GReaT,0.085,0.010,0.090,True
age,SMP,PredLLM,0.079,-0.050,0.110,True
age,SMP,TapTap,0.079,0.060,0.100,True
age,SMP,CTGAN,0.079,0.070,0.290,True
age,SMP,Tabula,0.079,0.010,0.100,True
age,SMP,TabDiff,0.079,0.010,0.080,True
age,SMP,TabSyn,0.079,0.020,0.130,True
age,SMP,REaLTabFormer,0.079,0.010,0.090,True
age,SMP,GReaT,0.079,0.040,0.100,True
age,SPI,PredLLM,-0.011,-0.040,0.030,True
age,SPI,TapTap,-0.011,-0.120,0.070,True
age,SPI,CTGAN,-0.011,-0.120,0.150,True
age,SPI,Tabula,-0.011,-0.060,0.030,True
