Construct,Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SPI,Absolute error (α),0.070,0.030,0.220,0.010,0.070,0.040,0.040,0.120
SPI,Absolute error (ρC),0.040,0.020,0.280,0.080,0.100,0.020,0.040,0.200
SPI,Absolute error (ρA),0.190,0.090,0.060,0.040,0.290,0.060,0.020,0.210
SPI,Absolute error (AVE),0.060,0.000,0.040,0.010,0.040,0.010,0.000,0.050
SMS,Absolute error (α),0.010,0.030,0.030,0.000,0.000,0.090,0.040,0.040
SMS,Absolute error (ρC),0.010,0.010,0.020,0.000,0.000,0.040,0.020,0.010
SMS,Absolute error (ρA),0.090,0.040,0.070,0.040,0.050,0.050,0.020,0.080
SMS,Absolute error (AVE),0.020,0.020,0.030,0.000,0.000,0.060,0.030,0.020
SMP,Absolute error (α),0.020,0.010,0.000,0.000,0.000,0.000,0.100,0.010
SMP,Absolute error (ρC),0.020,0.000,0.000,0.000,0.000,0.000,0.080,0.010
SMP,Absolute error (ρA),0.020,0.010,0.000,0.000,0.000,0.000,0.090,0.010
SMP,Absolute error (AVE),0.160,0.040,0.000,0.020,0.010,0.010,0.410,0.050
