Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
CTGAN,SMP,SMP,0.000,0.000,1.000,1.000
GReaT,SMP,SMP,0.000,0.000,1.000,1.000
Tabula,SMP,SMP,0.000,0.000,1.000,1.000
TapTap,SMP,SMP,0.000,0.000,1.000,1.000
PredLLM,SMP,SMP,0.000,0.000,1.000,1.000
TabSyn,SMP,SMP,0.000,0.000,1.000,1.000
TabDiff,SMP,SMP,0.000,0.000,1.000,1.000
REaLTabFormer,SMP,SMP,0.000,0.000,1.000,1.000
CTGAN,SPI,SMP,0.015,-0.015,-0.183,-0.198
GReaT,SPI,SMP,0.040,0.040,-0.183,-0.143
Tabula,SPI,SMP,0.053,0.053,-0.183,-0.130
TapTap,SPI,SMP,0.044,0.044,-0.183,-0.139
PredLLM,SPI,SMP,0.080,0.080,-0.183,-0.103
TabSyn,SPI,SMP,0.047,-0.047,-0.183,-0.230
TabDiff,SPI,SMP,0.011,-0.011,-0.183,-0.195
REaLTabFormer,SPI,SMP,0.038,0.038,-0.183,-0.145
CTGAN,SPI,SPI,0.000,0.000,1.000,1.000
GReaT,SPI,SPI,0.000,0.000,1.000,1.000
Tabula,SPI,SPI,0.000,0.000,1.000,1.000
TapTap,SPI,SPI,0.000,0.000,1.000,1.000
PredLLM,SPI,SPI,0.000,0.000,1.000,1.000
TabSyn,SPI,SPI,0.000,0.000,1.000,1.000
TabDiff,SPI,SPI,0.000,0.000,1.000,1.000
REaLTabFormer,SPI,SPI,0.000,0.000,1.000,1.000
CTGAN,SMS,SMP,0.059,0.059,0.299,0.358
GReaT,SMS,SMP,0.059,-0.059,0.299,0.240
Tabula,SMS,SMP,0.042,-0.042,0.299,0.257
TapTap,SMS,SMP,0.055,0.055,0.299,0.354
PredLLM,SMS,SMP,0.022,0.022,0.299,0.321
TabSyn,SMS,SMP,0.015,-0.015,0.299,0.284
TabDiff,SMS,SMP,0.010,-0.010,0.299,0.289
REaLTabFormer,SMS,SMP,0.090,-0.090,0.299,0.209
CTGAN,SMS,SPI,0.028,0.028,0.013,0.041
GReaT,SMS,SPI,0.006,-0.006,0.013,0.007
Tabula,SMS,SPI,0.013,0.013,0.013,0.026
TapTap,SMS,SPI,0.040,-0.040,0.013,-0.028
PredLLM,SMS,SPI,0.021,-0.021,0.013,-0.008
TabSyn,SMS,SPI,0.037,-0.037,0.013,-0.024
TabDiff,SMS,SPI,0.017,-0.017,0.013,-0.004
REaLTabFormer,SMS,SPI,0.129,-0.129,0.013,-0.117
CTGAN,SMS,SMS,0.000,0.000,1.000,1.000
GReaT,SMS,SMS,0.000,0.000,1.000,1.000
Tabula,SMS,SMS,0.000,0.000,1.000,1.000
TapTap,SMS,SMS,0.000,0.000,1.000,1.000
PredLLM,SMS,SMS,0.000,0.000,1.000,1.000
TabSyn,SMS,SMS,0.000,0.000,1.000,1.000
TabDiff,SMS,SMS,0.000,0.000,1.000,1.000
REaLTabFormer,SMS,SMS,0.000,0.000,1.000,1.000
CTGAN,gender,SMP,0.036,-0.036,-0.010,-0.046
GReaT,gender,SMP,0.098,0.098,-0.010,0.088
Tabula,gender,SMP,0.067,0.067,-0.010,0.057
TapTap,gender,SMP,0.015,0.015,-0.010,0.005
PredLLM,gender,SMP,0.011,0.011,-0.010,0.001
TabSyn,gender,SMP,0.007,-0.007,-0.010,-0.017
TabDiff,gender,SMP,0.029,0.029,-0.010,0.019
REaLTabFormer,gender,SMP,0.105,-0.105,-0.010,-0.115
CTGAN,gender,SPI,0.038,0.038,-0.037,0.002
GReaT,gender,SPI,0.009,0.009,-0.037,-0.028
Tabula,gender,SPI,0.034,-0.034,-0.037,-0.071
TapTap,gender,SPI,0.007,0.007,-0.037,-0.030
PredLLM,gender,SPI,0.057,-0.057,-0.037,-0.093
TabSyn,gender,SPI,0.042,0.042,-0.037,0.006
TabDiff,gender,SPI,0.007,0.007,-0.037,-0.029
REaLTabFormer,gender,SPI,0.029,-0.029,-0.037,-0.066
CTGAN,gender,SMS,0.046,-0.046,0.105,0.059
GReaT,gender,SMS,0.041,-0.041,0.105,0.064
Tabula,gender,SMS,0.038,-0.038,0.105,0.067
TapTap,gender,SMS,0.024,-0.024,0.105,0.081
PredLLM,gender,SMS,0.027,-0.027,0.105,0.079
TabSyn,gender,SMS,0.011,-0.011,0.105,0.094
TabDiff,gender,SMS,0.012,0.012,0.105,0.118
REaLTabFormer,gender,SMS,0.057,0.057,0.105,0.162
CTGAN,grade,SMP,0.017,0.017,0.199,0.216
GReaT,grade,SMP,0.049,-0.049,0.199,0.150
Tabula,grade,SMP,0.095,-0.095,0.199,0.104
TapTap,grade,SMP,0.009,-0.009,0.199,0.190
PredLLM,grade,SMP,0.056,-0.056,0.199,0.143
TabSyn,grade,SMP,0.027,-0.027,0.199,0.172
TabDiff,grade,SMP,0.023,-0.023,0.199,0.175
